,Rank,Movie_Name,IMDB_Rating,Year_of_Release, Movie Name,Year,IMDB Rating,Story,Director,Gross
242,243.The Sound of Music(1965),The Sound of Music,8.0,1965.0,,,,,,
243,244.Dersu Uzala(1975),Dersu Uzala,8.0,1975.0,,,,,,
244,245.The Handmaiden(2016),The Handmaiden,8.0,2016.0,,,,,,
245,246.Gandhi(1982),Gandhi,8.0,1982.0,,,,,,
246,247.Aladdin(1992),Aladdin,8.0,1992.0,,,,,,
247,248.The Help(2011),The Help,8.0,2011.0,,,,,,
248,249.Jai Bhim(2021),Jai Bhim,8.0,2021.0,,,,,,
249,250.Beauty and the Beast(1991),Beauty and the Beast,8.0,1991.0,,,,,,
250,,,,,The Lord of the Rings: The Return of the King,2003.0,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,$377.85M
251,,,,,The Lord of the Rings: The Two Towers,2002.0,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,$342.55M
252,,,,,The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,$315.54M
253,,,,,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,$290.48M
254,,,,,Spirited Away,2001.0,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,$10.06M
255,,,,,The Green Mile,1999.0,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,$136.80M
256,,,,,Star Wars,1977.0,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,$322.74M
257,,,,,It's a Wonderful Life,1946.0,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"449,076"
258,,,,,Your Name.,2016.0,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,$5.02M
259,,,,,Spider-Man: Into the Spider-Verse,2018.0,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,$190.24M
260,,,,,Coco,2017.0,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,$209.73M
261,,,,,Princess Mononoke,1997.0,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,$2.38M
262,,,,,Spider-Man: No Way Home,2021.0,8.3,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,$804.75M
263,,,,,Toy Story 3,2010.0,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,$415.00M
264,,,,,Toy Story,1995.0,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,$191.80M
265,,,,,Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand,$309.13M
266,,,,,Tumbbad,2018.0,8.2,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Rahi Anil Barve,"43,259"
267,,,,,Everything Everywhere All at Once,2022.0,8.2,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",Dan Kwan,"165,445"
